# features,  error,  precision,  recall,  fischer
2.00000 0.47724 0.15369 0.56828 0.24173
3.00000 0.47794 0.15352 0.56641 0.24139
4.00000 0.44735 0.15863 0.53678 0.24471
5.00000 0.45064 0.16149 0.56549 0.25115
6.00000 0.52265 0.15332 0.54062 0.23597
7.00000 0.40888 0.19564 0.67956 0.30334
8.00000 0.39855 0.19100 0.63812 0.29191
9.00000 0.35637 0.19432 0.55617 0.28611
10.00000 0.31455 0.20047 0.44622 0.27574
11.00000 0.32294 0.19972 0.45960 0.27748
12.00000 0.32714 0.20101 0.47583 0.28157
13.00000 0.27049 0.20764 0.34854 0.25971
14.00000 0.27348 0.21137 0.36616 0.26744
15.00000 0.28089 0.20936 0.37847 0.26904
16.00000 0.28175 0.21305 0.38886 0.27479
