# features,  error,  precision,  recall,  fischer
2.00000 0.43662 0.15466 0.51107 0.23638
3.00000 0.44513 0.15346 0.51903 0.23579
4.00000 0.47090 0.15336 0.53717 0.23756
5.00000 0.49458 0.15715 0.58492 0.24735
6.00000 0.55436 0.14852 0.61040 0.23840
7.00000 0.39147 0.19299 0.60498 0.29249
8.00000 0.32357 0.18621 0.40750 0.25557
9.00000 0.27418 0.17694 0.28244 0.21754
10.00000 0.22421 0.18948 0.21664 0.20096
11.00000 0.23093 0.18946 0.23364 0.20792
12.00000 0.23746 0.18772 0.24511 0.21139
13.00000 0.20954 0.21240 0.21657 0.21350
14.00000 0.21442 0.20934 0.22349 0.21540
15.00000 0.21795 0.20559 0.22768 0.21533
16.00000 0.21156 0.20701 0.21220 0.20891
