# features,  error,  precision,  recall,  fischer
2.00000 0.47217 0.15445 0.57068 0.24193
3.00000 0.49502 0.15217 0.58323 0.24106
4.00000 0.44748 0.15984 0.54926 0.24678
5.00000 0.45794 0.16064 0.58059 0.25136
6.00000 0.53763 0.14765 0.57236 0.23367
7.00000 0.39670 0.19625 0.65126 0.30113
8.00000 0.35274 0.19458 0.52539 0.28373
9.00000 0.31222 0.18754 0.40774 0.25647
10.00000 0.26210 0.19146 0.31065 0.23594
11.00000 0.27091 0.19114 0.32784 0.24066
12.00000 0.28136 0.18550 0.33492 0.23805
13.00000 0.23080 0.19843 0.23800 0.21595
14.00000 0.23412 0.19404 0.23972 0.21389
15.00000 0.23716 0.19854 0.25571 0.22296
16.00000 0.22957 0.20905 0.25696 0.23017
